movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Munich,https://en.wikipedia.org/wiki/Munich_(film),0,0,0,0,0,0,0,0,0,0,A,7.6,74,164,2005,3.6,7.4,Universal,47403685,Thriller,130358911
The Departed,https://en.wikipedia.org/wiki/The_Departed,1,1,0,0,0,1,0,0,1,0,A,8.5,85,151,2006,4.2,8.2,Warner Bros.,132384315,Crime,291465034
Babel,https://en.wikipedia.org/wiki/Babel_(film),0,0,0,0,0,0,0,1,0,0,R,7.5,69,143,2006,3.5,6.7,Paramount Vantage,34302837,Drama,135330182
Letters from Iwo Jima,https://en.wikipedia.org/wiki/Letters_from_Iwo_Jima,0,0,0,0,0,0,0,0,0,0,R,7.9,89,141,2006,3.9,8.2,Warner Bros.,13756082,War,68673228
Little Miss Sunshine,https://en.wikipedia.org/wiki/Little_Miss_Sunshine,0,0,1,0,1,0,0,0,0,1,R,7.8,80,101,2006,4,7.7,Fox Searchlight,59891098,Comedy,100523181
The Queen,https://en.wikipedia.org/wiki/The_Queen_(film),0,0,0,1,0,0,0,0,0,0,PG-13,7.3,91,162,2006,3.5,8.4,Miramax,56441711,Drama,123384128
No Country for Old Men,https://en.wikipedia.org/wiki/No_Country_for_Old_Men_(film),1,1,1,0,1,1,0,0,1,0,R,8.1,91,122,2007,4,8.7,Miramax,74283625,Crime,171627166
Atonement,https://en.wikipedia.org/wiki/Atonement_(film),0,0,0,1,0,0,0,1,0,0,R,7.8,85,123,2007,3.9,7.4,Focus Features,50927067,Period,129266061
Juno,https://en.wikipedia.org/wiki/Juno_(film),0,0,0,0,0,0,0,0,0,1,PG-13,7.5,81,96,2007,4.2,8.1,Fox Searchlight,143495265,Comedy,231411584
Michael Clayton,https://en.wikipedia.org/wiki/Michael_Clayton_(film),0,0,0,0,0,0,0,0,0,0,A,7.3,82,119,2007,3.5,7.6,Warner Bros.,49033882,Thriller,92991835
There Will Be Blood,https://en.wikipedia.org/wiki/There_Will_Be_Blood,0,0,0,0,0,0,0,0,0,0,R,8.1,93,158,2007,4,8.4,Paramount Vantage,40222514,Drama,76181545
Slumdog Millionaire,https://en.wikipedia.org/wiki/Slumdog_Millionaire,1,1,1,1,1,1,0,1,1,0,R,8,86,120,2008,4,8.4,Fox Searchlight,141319928,Drama,377910544
The Curious Case of Benjamin Button,https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.8,70,166,2008,3.8,7.1,Paramount,127509326,Fantasy,333932083
